iter	Passed	Remaining
402	11593	74710
403	11622	74680
404	11649	74646
405	11677	74607
406	11705	74574
407	11728	74509
408	11756	74474
409	11784	74446
410	11812	74407
411	11839	74369
412	11867	74339
413	11895	74304
414	11923	74269
415	11952	74245
416	11981	74218
417	12009	74185
418	12037	74146
419	12065	74115
420	12095	74092
421	12136	74139
422	12164	74107
423	12191	74071
424	12218	74032
425	12246	73997
426	12275	73969
427	12301	73926
428	12329	73892
429	12356	73854
430	12385	73821
431	12412	73784
432	12441	73757
433	12473	73748
434	12502	73718
435	12530	73689
436	12563	73682
437	12591	73649
438	12619	73620
439	12648	73591
440	12676	73555
441	12703	73519
442	12731	73484
443	12760	73459
444	12788	73426
445	12817	73397
446	12845	73365
447	12873	73330
448	12899	73287
449	12925	73246
450	12955	73222
451	12982	73185
452	13010	73151
453	13037	73110
454	13065	73082
455	13093	73047
456	13121	73016
457	13167	73081
458	13194	73043
459	13222	73009
460	13250	72977
461	13278	72947
462	13306	72910
463	13334	72879
464	13362	72848
465	13390	72813
466	13418	72783
467	13446	72748
468	13475	72719
469	13504	72691
470	13530	72652
471	13563	72644
472	13593	72620
473	13621	72590
474	13647	72548
475	13676	72518
476	13704	72484
477	13732	72452
478	13760	72424
479	13788	72388
480	13817	72359
481	13845	72327
482	13874	72303
483	13898	72249
484	13925	72214
485	13954	72184
486	13982	72153
487	14010	72119
488	14037	72084
489	14066	72056
490	14096	72031
491	14123	71993
492	14151	71962
493	14195	72013
494	14223	71980
495	14251	71948
496	14278	71910
497	14306	71876
498	14334	71844
499	14362	71812
500	14390	71781
501	14417	71741
502	14443	71700
503	14473	71678
504	14500	71642
505	14527	71603
506	14558	71586
507	14586	71556
508	14614	71522
509	14642	71488
510	14670	71457
511	14699	71428
512	14726	71394
513	14754	71360
514	14782	71328
515	14811	71300
516	14838	71266
517	14867	71235
518	14894	71198
519	14921	71165
520	14950	71134
521	14977	71098
522	15004	71063
523	15034	71039
524	15064	71016
525	15092	70986
526	15121	70958
527	15150	70929
528	15193	70970
529	15221	70938
530	15250	70911
531	15279	70881
532	15307	70850
533	15334	70814
534	15364	70793
535	15391	70756
536	15419	70725
537	15447	70691
538	15476	70661
539	15504	70632
540	15531	70596
541	15564	70584
542	15591	70551
543	15621	70526
544	15651	70503
545	15679	70471
546	15707	70439
547	15736	70410
548	15763	70376
549	15791	70345
550	15818	70309
551	15847	70280
552	15876	70251
553	15904	70220
554	15932	70188
555	15962	70163
556	15989	70131
